RRKM rate, sf=0.970, S*=-14.91, E0=1.15 and Delta=0.90
   En (eV)    k (s-1)
    3.5831 3.4846e+07
    3.5955 3.5932e+07
    3.6079 3.7045e+07
    3.6203 3.8187e+07
    3.6327 3.9356e+07
    3.6451 4.0555e+07
    3.6574 4.1783e+07
    3.6698  4.304e+07
    3.6822 4.4328e+07
    3.6946 4.5647e+07
     3.707 4.6998e+07
    3.7194 4.8381e+07
    3.7318 4.9796e+07
    3.7442 5.1244e+07
    3.7566 5.2727e+07
     3.769 5.4244e+07
    3.7814 5.5795e+07
    3.7938 5.7382e+07
    3.8062 5.9005e+07
    3.8186 6.0666e+07
     3.831 6.2363e+07
    3.8434 6.4098e+07
    3.8558 6.5872e+07
    3.8682 6.7685e+07
    3.8806 6.9538e+07
     3.893 7.1431e+07
    3.9054 7.3366e+07
    3.9178 7.5342e+07
    3.9302 7.7361e+07
    3.9426 7.9423e+07
     3.955 8.1529e+07
    3.9674 8.3679e+07
    3.9798 8.5874e+07
    3.9922 8.8115e+07
    4.0046 9.0403e+07
     4.017 9.2737e+07
    4.0294  9.512e+07
    4.0418 9.7552e+07
    4.0542 1.0003e+08
    4.0666 1.0256e+08
     4.079 1.0514e+08
    4.0914 1.0778e+08
    4.1038 1.1046e+08
    4.1162  1.132e+08
    4.1286 1.1599e+08
     4.141 1.1884e+08
    4.1534 1.2174e+08
    4.1658  1.247e+08
    4.1782 1.2771e+08
    4.1906 1.3079e+08
     4.203 1.3392e+08
    4.2154 1.3711e+08
    4.2278 1.4036e+08
    4.2402 1.4367e+08
    4.2526 1.4704e+08
     4.265 1.5047e+08
    4.2774 1.5397e+08
    4.2898 1.5753e+08
    4.3022 1.6116e+08
    4.3146 1.6485e+08
    4.3269 1.6861e+08
    4.3393 1.7244e+08
    4.3517 1.7633e+08
    4.3641  1.803e+08
    4.3765 1.8433e+08
    4.3889 1.8844e+08
    4.4013 1.9261e+08
    4.4137 1.9686e+08
    4.4261 2.0119e+08
    4.4385 2.0558e+08
    4.4509 2.1005e+08
    4.4633  2.146e+08
    4.4757 2.1923e+08
    4.4881 2.2393e+08
    4.5005 2.2872e+08
    4.5129 2.3358e+08
    4.5253 2.3852e+08
    4.5377 2.4355e+08
    4.5501 2.4866e+08
    4.5625 2.5385e+08
    4.5749 2.5912e+08
    4.5873 2.6448e+08
    4.5997 2.6993e+08
    4.6121 2.7547e+08
    4.6245 2.8109e+08
    4.6369 2.8681e+08
    4.6493 2.9261e+08
    4.6617  2.985e+08
    4.6741 3.0449e+08
    4.6865 3.1057e+08
    4.6989 3.1675e+08
    4.7113 3.2302e+08
    4.7237 3.2939e+08
    4.7361 3.3585e+08
    4.7485 3.4241e+08
    4.7609 3.4908e+08
    4.7733 3.5584e+08
    4.7857 3.6271e+08
    4.7981 3.6967e+08
    4.8105 3.7674e+08
    4.8229 3.8392e+08
    4.8353  3.912e+08
    4.8477 3.9859e+08
    4.8601 4.0608e+08
    4.8725 4.1369e+08
    4.8849  4.214e+08
    4.8973 4.2923e+08
    4.9097 4.3717e+08
    4.9221 4.4522e+08
    4.9345 4.5339e+08
    4.9469 4.6166e+08
    4.9593 4.7006e+08
    4.9717 4.7858e+08
     4.984 4.8721e+08
    4.9964 4.9597e+08
    5.0088 5.0484e+08
    5.0212 5.1384e+08
    5.0336 5.2296e+08
     5.046  5.322e+08
    5.0584 5.4158e+08
    5.0708 5.5107e+08
    5.0832  5.607e+08
    5.0956 5.7045e+08
     5.108 5.8033e+08
    5.1204 5.9035e+08
    5.1328 6.0049e+08
    5.1452 6.1077e+08
    5.1576 6.2119e+08
      5.17 6.3174e+08
    5.1824 6.4243e+08
    5.1948 6.5326e+08
    5.2072 6.6422e+08
    5.2196 6.7533e+08
     5.232 6.8658e+08
    5.2444 6.9797e+08
    5.2568 7.0951e+08
    5.2692 7.2119e+08
    5.2816 7.3302e+08
     5.294 7.4499e+08
    5.3064 7.5712e+08
    5.3188 7.6939e+08
    5.3312 7.8182e+08
    5.3436  7.944e+08
     5.356 8.0713e+08
    5.3684 8.2002e+08
    5.3808 8.3306e+08
    5.3932 8.4627e+08
    5.4056 8.5963e+08
     5.418 8.7314e+08
    5.4304 8.8683e+08
    5.4428 9.0067e+08
    5.4552 9.1468e+08
    5.4676 9.2885e+08
      5.48 9.4319e+08
    5.4924  9.577e+08
    5.5048 9.7238e+08
    5.5172 9.8723e+08
    5.5296 1.0022e+09
