RRKM rate, sf=0.970, S*=-13.64, E0=1.12 and Delta=0.89
   En (eV)    k (s-1)
    3.5583 4.9342e+07
    3.5707 5.0867e+07
    3.5831  5.243e+07
    3.5955 5.4031e+07
    3.6079 5.5672e+07
    3.6203 5.7353e+07
    3.6327 5.9074e+07
    3.6451 6.0838e+07
    3.6574 6.2643e+07
    3.6698 6.4491e+07
    3.6822 6.6383e+07
    3.6946 6.8319e+07
     3.707 7.0301e+07
    3.7194 7.2328e+07
    3.7318 7.4403e+07
    3.7442 7.6525e+07
    3.7566 7.8695e+07
     3.769 8.0914e+07
    3.7814 8.3184e+07
    3.7938 8.5504e+07
    3.8062 8.7875e+07
    3.8186 9.0301e+07
     3.831 9.2778e+07
    3.8434  9.531e+07
    3.8558 9.7896e+07
    3.8682 1.0054e+08
    3.8806 1.0324e+08
     3.893   1.06e+08
    3.9054 1.0881e+08
    3.9178 1.1169e+08
    3.9302 1.1462e+08
    3.9426 1.1762e+08
     3.955 1.2068e+08
    3.9674  1.238e+08
    3.9798 1.2699e+08
    3.9922 1.3024e+08
    4.0046 1.3356e+08
     4.017 1.3694e+08
    4.0294 1.4039e+08
    4.0418 1.4392e+08
    4.0542 1.4751e+08
    4.0666 1.5117e+08
     4.079  1.549e+08
    4.0914 1.5871e+08
    4.1038 1.6259e+08
    4.1162 1.6655e+08
    4.1286 1.7058e+08
     4.141 1.7469e+08
    4.1534 1.7887e+08
    4.1658 1.8314e+08
    4.1782 1.8748e+08
    4.1906 1.9191e+08
     4.203 1.9642e+08
    4.2154 2.0101e+08
    4.2278 2.0569e+08
    4.2402 2.1046e+08
    4.2526  2.153e+08
     4.265 2.2024e+08
    4.2774 2.2527e+08
    4.2898 2.3039e+08
    4.3022 2.3559e+08
    4.3146 2.4089e+08
    4.3269 2.4629e+08
    4.3393 2.5178e+08
    4.3517 2.5736e+08
    4.3641 2.6304e+08
    4.3765 2.6882e+08
    4.3889  2.747e+08
    4.4013 2.8068e+08
    4.4137 2.8676e+08
    4.4261 2.9295e+08
    4.4385 2.9924e+08
    4.4509 3.0563e+08
    4.4633 3.1213e+08
    4.4757 3.1874e+08
    4.4881 3.2546e+08
    4.5005 3.3228e+08
    4.5129 3.3922e+08
    4.5253 3.4628e+08
    4.5377 3.5344e+08
    4.5501 3.6073e+08
    4.5625 3.6812e+08
    4.5749 3.7564e+08
    4.5873 3.8328e+08
    4.5997 3.9104e+08
    4.6121 3.9891e+08
    4.6245 4.0692e+08
    4.6369 4.1504e+08
    4.6493  4.233e+08
    4.6617 4.3168e+08
    4.6741 4.4019e+08
    4.6865 4.4882e+08
    4.6989  4.576e+08
    4.7113  4.665e+08
    4.7237 4.7553e+08
    4.7361 4.8471e+08
    4.7485 4.9401e+08
    4.7609 5.0346e+08
    4.7733 5.1305e+08
    4.7857 5.2278e+08
    4.7981 5.3265e+08
    4.8105 5.4266e+08
    4.8229 5.5282e+08
    4.8353 5.6313e+08
    4.8477 5.7358e+08
    4.8601 5.8419e+08
    4.8725 5.9494e+08
    4.8849 6.0585e+08
    4.8973 6.1691e+08
    4.9097 6.2812e+08
    4.9221  6.395e+08
    4.9345 6.5103e+08
    4.9469 6.6272e+08
    4.9593 6.7457e+08
    4.9717 6.8659e+08
     4.984 6.9877e+08
    4.9964 7.1111e+08
    5.0088 7.2362e+08
    5.0212  7.363e+08
    5.0336 7.4915e+08
     5.046 7.6218e+08
    5.0584 7.7537e+08
    5.0708 7.8874e+08
    5.0832 8.0229e+08
    5.0956 8.1601e+08
     5.108 8.2992e+08
    5.1204   8.44e+08
    5.1328 8.5827e+08
    5.1452 8.7272e+08
    5.1576 8.8736e+08
      5.17 9.0218e+08
    5.1824  9.172e+08
    5.1948  9.324e+08
    5.2072 9.4779e+08
    5.2196 9.6338e+08
     5.232 9.7917e+08
    5.2444 9.9515e+08
    5.2568 1.0113e+09
    5.2692 1.0277e+09
    5.2816 1.0443e+09
     5.294 1.0611e+09
    5.3064 1.0781e+09
    5.3188 1.0953e+09
    5.3312 1.1127e+09
    5.3436 1.1303e+09
     5.356 1.1481e+09
    5.3684 1.1661e+09
    5.3808 1.1844e+09
    5.3932 1.2028e+09
    5.4056 1.2215e+09
     5.418 1.2404e+09
    5.4304 1.2596e+09
    5.4428 1.2789e+09
    5.4552 1.2985e+09
    5.4676 1.3183e+09
      5.48 1.3383e+09
    5.4924 1.3586e+09
    5.5048 1.3791e+09
    5.5172 1.3998e+09
    5.5296 1.4207e+09
     5.542 1.4419e+09
    5.5544 1.4633e+09
    5.5668  1.485e+09
    5.5792 1.5069e+09
    5.5916 1.5291e+09
     5.604 1.5515e+09
    5.6164 1.5741e+09
    5.6288  1.597e+09
    5.6412 1.6202e+09
    5.6535 1.6436e+09
    5.6659 1.6672e+09
    5.6783 1.6911e+09
    5.6907 1.7153e+09
    5.7031 1.7397e+09
    5.7155 1.7644e+09
    5.7279 1.7893e+09
    5.7403 1.8145e+09
    5.7527   1.84e+09
    5.7651 1.8657e+09
    5.7775 1.8917e+09
    5.7899  1.918e+09
    5.8023 1.9445e+09
    5.8147 1.9713e+09
    5.8271 1.9984e+09
    5.8395 2.0258e+09
    5.8519 2.0535e+09
    5.8643 2.0814e+09
    5.8767 2.1096e+09
    5.8891 2.1381e+09
    5.9015 2.1669e+09
    5.9139  2.196e+09
    5.9263 2.2254e+09
    5.9387  2.255e+09
    5.9511  2.285e+09
    5.9635 2.3152e+09
    5.9759 2.3458e+09
    5.9883 2.3766e+09
    6.0007 2.4078e+09
    6.0131 2.4392e+09
    6.0255  2.471e+09
    6.0379  2.503e+09
    6.0503 2.5354e+09
    6.0627 2.5681e+09
    6.0751 2.6011e+09
    6.0875 2.6344e+09
    6.0999  2.668e+09
    6.1123 2.7019e+09
    6.1247 2.7362e+09
    6.1371 2.7707e+09
    6.1495 2.8056e+09
    6.1619 2.8408e+09
    6.1743 2.8764e+09
    6.1867 2.9123e+09
    6.1991 2.9485e+09
    6.2115  2.985e+09
    6.2239 3.0218e+09
    6.2363 3.0591e+09
    6.2487 3.0966e+09
    6.2611 3.1345e+09
    6.2735 3.1727e+09
    6.2859 3.2112e+09
    6.2983 3.2501e+09
    6.3107 3.2894e+09
     6.323  3.329e+09
    6.3354 3.3689e+09
    6.3478 3.4092e+09
    6.3602 3.4499e+09
    6.3726 3.4909e+09
     6.385 3.5322e+09
    6.3974  3.574e+09
    6.4098  3.616e+09
    6.4222 3.6585e+09
    6.4346 3.7013e+09
     6.447 3.7445e+09
    6.4594  3.788e+09
    6.4718 3.8319e+09
    6.4842 3.8762e+09
    6.4966 3.9208e+09
     6.509 3.9659e+09
    6.5214 4.0113e+09
    6.5338  4.057e+09
    6.5462 4.1032e+09
    6.5586 4.1497e+09
     6.571 4.1967e+09
    6.5834  4.244e+09
    6.5958 4.2917e+09
    6.6082 4.3398e+09
    6.6206 4.3883e+09
     6.633 4.4372e+09
    6.6454 4.4864e+09
    6.6578 4.5361e+09
    6.6702 4.5861e+09
    6.6826 4.6366e+09
     6.695 4.6875e+09
    6.7074 4.7387e+09
    6.7198 4.7904e+09
    6.7322 4.8425e+09
    6.7446  4.895e+09
     6.757 4.9479e+09
    6.7694 5.0012e+09
    6.7818  5.055e+09
    6.7942 5.1091e+09
    6.8066 5.1637e+09
     6.819 5.2187e+09
    6.8314 5.2741e+09
    6.8438 5.3299e+09
    6.8562 5.3862e+09
    6.8686 5.4428e+09
     6.881    5.5e+09
    6.8934 5.5575e+09
    6.9058 5.6155e+09
    6.9182 5.6739e+09
    6.9306 5.7327e+09
     6.943  5.792e+09
    6.9554 5.8518e+09
    6.9678 5.9119e+09
    6.9801 5.9725e+09
    6.9925 6.0336e+09
    7.0049 6.0951e+09
    7.0173 6.1571e+09
    7.0297 6.2195e+09
    7.0421 6.2823e+09
    7.0545 6.3456e+09
    7.0669 6.4094e+09
    7.0793 6.4736e+09
    7.0917 6.5383e+09
    7.1041 6.6035e+09
    7.1165 6.6691e+09
    7.1289 6.7351e+09
    7.1413 6.8017e+09
    7.1537 6.8687e+09
    7.1661 6.9361e+09
    7.1785 7.0042e+09
    7.1909 7.0726e+09
    7.2033 7.1414e+09
    7.2157 7.2108e+09
    7.2281 7.2807e+09
    7.2405  7.351e+09
    7.2529 7.4219e+09
    7.2653 7.4932e+09
    7.2777 7.5649e+09
    7.2901 7.6372e+09
    7.3025   7.71e+09
    7.3149 7.7833e+09
    7.3273  7.857e+09
    7.3397 7.9313e+09
    7.3521  8.006e+09
    7.3645 8.0812e+09
    7.3769  8.157e+09
    7.3893 8.2333e+09
    7.4017   8.31e+09
    7.4141 8.3872e+09
    7.4265  8.465e+09
    7.4389 8.5433e+09
    7.4513 8.6221e+09
    7.4637 8.7013e+09
    7.4761 8.7811e+09
    7.4885 8.8615e+09
    7.5009 8.9423e+09
    7.5133 9.0236e+09
    7.5257 9.1055e+09
    7.5381 9.1879e+09
    7.5505 9.2709e+09
    7.5629 9.3543e+09
    7.5753 9.4383e+09
    7.5877 9.5228e+09
    7.6001 9.6078e+09
    7.6125 9.6934e+09
    7.6249 9.7795e+09
    7.6373 9.8662e+09
    7.6496 9.9533e+09
     7.662 1.0041e+10
    7.6744 1.0129e+10
    7.6868 1.0218e+10
    7.6992 1.0307e+10
    7.7116 1.0397e+10
     7.724 1.0488e+10
    7.7364 1.0579e+10
    7.7488  1.067e+10
    7.7612 1.0762e+10
    7.7736 1.0855e+10
     7.786 1.0948e+10
    7.7984 1.1042e+10
    7.8108 1.1136e+10
    7.8232 1.1231e+10
    7.8356 1.1327e+10
     7.848 1.1423e+10
    7.8604 1.1519e+10
    7.8728 1.1616e+10
    7.8852 1.1714e+10
    7.8976 1.1812e+10
      7.91 1.1911e+10
    7.9224 1.2011e+10
    7.9348 1.2111e+10
    7.9472 1.2211e+10
    7.9596 1.2312e+10
     7.972 1.2414e+10
    7.9844 1.2516e+10
    7.9968 1.2619e+10
    8.0092 1.2723e+10
    8.0216 1.2827e+10
     8.034 1.2931e+10
    8.0464 1.3037e+10
    8.0588 1.3143e+10
    8.0712 1.3249e+10
    8.0836 1.3356e+10
     8.096 1.3464e+10
    8.1084 1.3572e+10
    8.1208 1.3681e+10
    8.1332  1.379e+10
    8.1456   1.39e+10
     8.158 1.4011e+10
    8.1704 1.4122e+10
    8.1828 1.4234e+10
    8.1952 1.4346e+10
    8.2076 1.4459e+10
      8.22 1.4573e+10
    8.2324 1.4687e+10
    8.2448 1.4802e+10
    8.2572 1.4918e+10
    8.2696 1.5034e+10
     8.282 1.5151e+10
    8.2944 1.5268e+10
    8.3067 1.5386e+10
    8.3191 1.5504e+10
    8.3315 1.5624e+10
    8.3439 1.5744e+10
    8.3563 1.5864e+10
    8.3687 1.5985e+10
    8.3811 1.6107e+10
    8.3935 1.6229e+10
    8.4059 1.6352e+10
    8.4183 1.6476e+10
    8.4307   1.66e+10
    8.4431 1.6725e+10
    8.4555 1.6851e+10
    8.4679 1.6977e+10
    8.4803 1.7104e+10
    8.4927 1.7231e+10
    8.5051 1.7359e+10
    8.5175 1.7488e+10
    8.5299 1.7618e+10
    8.5423 1.7748e+10
    8.5547 1.7878e+10
    8.5671  1.801e+10
    8.5795 1.8142e+10
    8.5919 1.8275e+10
    8.6043 1.8408e+10
    8.6167 1.8542e+10
    8.6291 1.8677e+10
    8.6415 1.8812e+10
    8.6539 1.8948e+10
    8.6663 1.9085e+10
    8.6787 1.9222e+10
    8.6911  1.936e+10
    8.7035 1.9499e+10
    8.7159 1.9638e+10
    8.7283 1.9778e+10
    8.7407 1.9919e+10
    8.7531  2.006e+10
