RRKM rate, sf=0.970, S*=-15.40, E0=1.35 and Delta=1.32
   En (eV)    k (s-1)
         0          0
  0.012398          0
  0.024796          0
  0.037194          0
  0.049593          0
  0.061991          0
  0.074389          0
  0.086787          0
  0.099185          0
   0.11158          0
   0.12398          0
   0.13638          0
   0.14878          0
   0.16118          0
   0.17357          0
   0.18597          0
   0.19837          0
   0.21077          0
   0.22317          0
   0.23556          0
   0.24796          0
   0.26036          0
   0.27276          0
   0.28516          0
   0.29756          0
   0.30995          0
   0.32235          0
   0.33475          0
   0.34715          0
   0.35955          0
   0.37194          0
   0.38434          0
   0.39674          0
   0.40914          0
   0.42154          0
   0.43393          0
   0.44633          0
   0.45873          0
   0.47113          0
   0.48353          0
   0.49593          0
   0.50832          0
   0.52072          0
   0.53312          0
   0.54552          0
   0.55792          0
   0.57031          0
   0.58271          0
   0.59511          0
   0.60751          0
   0.61991          0
    0.6323          0
    0.6447          0
    0.6571          0
    0.6695          0
    0.6819          0
    0.6943          0
   0.70669          0
   0.71909          0
   0.73149          0
   0.74389          0
   0.75629          0
   0.76868          0
   0.78108          0
   0.79348          0
   0.80588          0
   0.81828          0
   0.83067          0
   0.84307          0
   0.85547          0
   0.86787          0
   0.88027          0
   0.89267          0
   0.90506          0
   0.91746          0
   0.92986          0
   0.94226          0
   0.95466          0
   0.96705          0
   0.97945          0
   0.99185          0
    1.0042          0
    1.0166          0
     1.029          0
    1.0414          0
    1.0538          0
    1.0662          0
    1.0786          0
     1.091          0
    1.1034          0
    1.1158          0
    1.1282          0
    1.1406          0
     1.153          0
    1.1654          0
    1.1778          0
    1.1902          0
    1.2026          0
     1.215          0
    1.2274          0
    1.2398          0
    1.2522          0
    1.2646          0
     1.277          0
    1.2894          0
    1.3018          0
    1.3142          0
    1.3266          0
     1.339          0
    1.3514          0
    1.3638 0.00062409
    1.3762  0.0015369
    1.3886  0.0033674
     1.401  0.0058846
    1.4134   0.010542
    1.4258   0.017603
    1.4382   0.028252
    1.4506   0.043113
     1.463   0.064222
    1.4754   0.094176
    1.4878    0.13507
    1.5002     0.1902
    1.5126     0.2628
     1.525    0.35889
    1.5374    0.48389
    1.5498    0.64522
    1.5622    0.85027
    1.5746     1.1099
     1.587     1.4361
    1.5994     1.8432
    1.6118     2.3471
    1.6242     2.9667
    1.6366     3.7249
     1.649     4.6474
    1.6613     5.7641
    1.6737     7.1083
    1.6861     8.7193
    1.6985     10.641
    1.7109     12.926
    1.7233     15.629
    1.7357     18.815
    1.7481     22.557
    1.7605     26.937
    1.7729     32.046
    1.7853     37.986
    1.7977     44.871
    1.8101     52.828
    1.8225     61.998
    1.8349     72.536
    1.8473     84.614
    1.8597     98.424
    1.8721     114.17
    1.8845     132.09
    1.8969     152.43
    1.9093     175.47
    1.9217     201.51
    1.9341     230.89
    1.9465     263.95
    1.9589     301.09
    1.9713     342.74
    1.9837     389.36
    1.9961     441.45
    2.0085     499.54
    2.0209     564.23
    2.0333     636.15
    2.0457     715.97
    2.0581     804.44
    2.0705     902.33
    2.0829     1010.5
    2.0953     1129.8
    2.1077     1261.3
    2.1201     1406.1
    2.1325     1565.1
    2.1449     1739.6
    2.1573     1930.9
    2.1697     2140.4
    2.1821     2369.4
    2.1945     2619.6
    2.2069     2892.5
    2.2193     3189.9
    2.2317     3513.7
    2.2441     3865.7
    2.2565     4248.2
    2.2689     4663.3
    2.2813     5113.3
    2.2937     5600.6
    2.3061     6127.9
    2.3185       6698
    2.3308     7313.7
    2.3432     7978.1
    2.3556     8694.4
     2.368       9466
    2.3804      10296
    2.3928      11190
    2.4052      12149
    2.4176      13180
      2.43      14285
    2.4424      15470
    2.4548      16740
    2.4672      18099
    2.4796      19553
     2.492      21106
    2.5044      22766
    2.5168      24538
    2.5292      26428
    2.5416      28443
     2.554      30589
    2.5664      32874
    2.5788      35305
    2.5912      37891
    2.6036      40638
     2.616      43556
    2.6284      46653
    2.6408      49939
    2.6532      53422
    2.6656      57114
     2.678      61023
    2.6904      65161
    2.7028      69539
    2.7152      74167
    2.7276      79059
      2.74      84226
    2.7524      89682
    2.7648      95439
    2.7772 1.0151e+05
    2.7896 1.0791e+05
     2.802 1.1466e+05
    2.8144 1.2176e+05
    2.8268 1.2924e+05
    2.8392 1.3711e+05
    2.8516 1.4539e+05
     2.864  1.541e+05
    2.8764 1.6325e+05
    2.8888 1.7286e+05
    2.9012 1.8295e+05
    2.9136 1.9354e+05
     2.926 2.0466e+05
