RRKM rate, sf=0.970, S*=-14.15, E0=1.32 and Delta=1.30
   En (eV)    k (s-1)
         0          0
  0.012398          0
  0.024796          0
  0.037194          0
  0.049593          0
  0.061991          0
  0.074389          0
  0.086787          0
  0.099185          0
   0.11158          0
   0.12398          0
   0.13638          0
   0.14878          0
   0.16118          0
   0.17357          0
   0.18597          0
   0.19837          0
   0.21077          0
   0.22317          0
   0.23556          0
   0.24796          0
   0.26036          0
   0.27276          0
   0.28516          0
   0.29756          0
   0.30995          0
   0.32235          0
   0.33475          0
   0.34715          0
   0.35955          0
   0.37194          0
   0.38434          0
   0.39674          0
   0.40914          0
   0.42154          0
   0.43393          0
   0.44633          0
   0.45873          0
   0.47113          0
   0.48353          0
   0.49593          0
   0.50832          0
   0.52072          0
   0.53312          0
   0.54552          0
   0.55792          0
   0.57031          0
   0.58271          0
   0.59511          0
   0.60751          0
   0.61991          0
    0.6323          0
    0.6447          0
    0.6571          0
    0.6695          0
    0.6819          0
    0.6943          0
   0.70669          0
   0.71909          0
   0.73149          0
   0.74389          0
   0.75629          0
   0.76868          0
   0.78108          0
   0.79348          0
   0.80588          0
   0.81828          0
   0.83067          0
   0.84307          0
   0.85547          0
   0.86787          0
   0.88027          0
   0.89267          0
   0.90506          0
   0.91746          0
   0.92986          0
   0.94226          0
   0.95466          0
   0.96705          0
   0.97945          0
   0.99185          0
    1.0042          0
    1.0166          0
     1.029          0
    1.0414          0
    1.0538          0
    1.0662          0
    1.0786          0
     1.091          0
    1.1034          0
    1.1158          0
    1.1282          0
    1.1406          0
     1.153          0
    1.1654          0
    1.1778          0
    1.1902          0
    1.2026          0
     1.215          0
    1.2274          0
    1.2398          0
    1.2522          0
    1.2646          0
     1.277          0
    1.2894          0
    1.3018          0
    1.3142          0
    1.3266  0.0011344
     1.339  0.0027859
    1.3514  0.0068484
    1.3638   0.012482
    1.3762   0.022542
    1.3886   0.037463
     1.401   0.060231
    1.4134   0.092881
    1.4258    0.13847
    1.4382    0.20299
    1.4506    0.29014
     1.463     0.4092
    1.4754    0.56549
    1.4878    0.77183
    1.5002     1.0388
    1.5126     1.3829
     1.525      1.821
    1.5374     2.3737
    1.5498      3.067
    1.5622     3.9288
    1.5746     4.9954
     1.587      6.304
    1.5994     7.9021
    1.6118     9.8416
    1.6242     12.185
    1.6366         15
     1.649     18.367
    1.6613     22.377
    1.6737     27.131
    1.6861     32.746
    1.6985     39.351
    1.7109     47.093
    1.7233     56.135
    1.7357     66.662
    1.7481     78.876
    1.7605     93.006
    1.7729      109.3
    1.7853     128.05
    1.7977     149.55
    1.8101     174.14
    1.8225      202.2
    1.8349     234.15
    1.8473     270.42
    1.8597     311.52
    1.8721     357.99
    1.8845      410.4
    1.8969     469.41
    1.9093     535.71
    1.9217     610.06
    1.9341     693.28
    1.9465     786.25
    1.9589     889.94
    1.9713     1005.4
    1.9837     1133.7
    1.9961     1276.1
    2.0085     1433.9
    2.0209     1608.4
    2.0333     1801.2
    2.0457     2013.9
    2.0581     2248.1
    2.0705     2505.8
    2.0829     2788.8
    2.0953     3099.4
    2.1077     3439.6
    2.1201     3811.9
    2.1325     4218.9
    2.1449     4663.2
    2.1573     5147.6
    2.1697     5675.3
    2.1821     6249.4
    2.1945     6873.3
    2.2069     7550.8
    2.2193     8285.5
    2.2317     9081.5
    2.2441     9943.3
    2.2565      10875
    2.2689      11882
    2.2813      12968
    2.2937      14140
    2.3061      15403
    2.3185      16762
    2.3308      18224
    2.3432      19795
    2.3556      21482
     2.368      23292
    2.3804      25233
    2.3928      27312
    2.4052      29537
    2.4176      31918
      2.43      34462
    2.4424      37181
    2.4548      40082
    2.4672      43177
    2.4796      46476
     2.492      49990
    2.5044      53731
    2.5168      57711
    2.5292      61943
    2.5416      66439
     2.554      71214
    2.5664      76281
    2.5788      81655
    2.5912      87352
    2.6036      93388
     2.616      99779
    2.6284 1.0654e+05
    2.6408  1.137e+05
    2.6532 1.2126e+05
    2.6656 1.2925e+05
     2.678 1.3769e+05
    2.6904 1.4659e+05
    2.7028 1.5599e+05
    2.7152 1.6589e+05
    2.7276 1.7634e+05
      2.74 1.8734e+05
    2.7524 1.9892e+05
    2.7648 2.1111e+05
    2.7772 2.2393e+05
    2.7896 2.3742e+05
     2.802 2.5159e+05
    2.8144 2.6648e+05
    2.8268 2.8212e+05
    2.8392 2.9853e+05
    2.8516 3.1576e+05
     2.864 3.3382e+05
    2.8764 3.5276e+05
